nome_cliente;date;alunos_ativos;total_em_recibo_venda;total_em_recebiveis;total_valor_cartao_credito_maquina;total_valor_cartao_credito_recorrencia;total_conta_pagar
Ruan Guilherme Personal Trainer;2021/01;1;4372;2000;0;0;660
Mais Fitness Corumbaiba;2021/01;40;5845;5590;0;0;0
Pedroso;2021/01;3;4155;3087;0;0;1744
Cerrado MMA;2021/01;0;479;629;247;0;0
TEAM ÁGUIA FOOTVOLLEY;2021/01;0;1159;743;;;0
Diego Josahkian Treinamentos Personalizados - Cross Nutritio;2021/01;15;3187;3313;0;0;2667
FACTORY CROSS TRAINING 3;2021/01;8;7181;3690;0;0;0
21379;2021/01;0;0;0;;;
Hoff Nunes Maciel;2021/01;3;9654;4769;386;0;0
Júlio Santos | Personal Training;2021/01;9;12525;18630;0;0;0
21398;2021/01;0;1660;1641;0;0;1764
Mateus | Academia Vida Ativa;2021/01;70;44356;41531;0;0;1978
Life Style Treinamento Funcional;2021/01;21;4300;4300;0;0;120
CT NATY PINHEIRO;2021/01;33;22970;22842;0;0;0
JADER ARDENGHI VARGAS | MAXX TRAINER GYN;2021/01;31;0;0;;;
ZEROTREZE Cross Training;2021/01;37;2970;2970;0;0;0
Stúdio do Corpo;2021/01;49;1685;1548;0;0;0
ATHAR CROSSFIT - CARANGOLA;2021/01;12;9014;6792;0;0;0
21423;2021/01;0;0;0;;;
Boleiro Treinado;2021/01;3;1870;1870;0;0;0
Studio Karen Ferreira;2021/01;21;1904;1910;0;0;746
21497;2021/01;0;0;0;0;0;0
21514;2021/01;0;0;0;0;0;0
MMfFit BOX;2021/01;2;1064;584;0;0;0
família Fit;2021/01;16;3311;4447;0;0;1509
Team Coach Muniz;2021/01;2;4570;4570;0;0;300
Estúdio Gabriela Donati;2021/01;5;8154;10036;0;0;6942
NossoBox;2021/01;14;18276;10001;;;115
MAYARA BRITO | FIT EM CASA.;2021/01;3;1505;1992;0;0;127
Olímpia Fitness Guarapuava;2021/01;286;264;99;0;0;0
MOV Treinamento Funcional;2021/01;8;11695;11554;0;0;12458
acquarini;2021/01;12;165;165;0;0;19849
21555;2021/01;0;0;0;0;0;0
Killer Bees Antonina;2021/01;31;5290;5373;0;0;3776
ELITE ACADEMIA;2021/01;0;22094;17077;0;0;0
Seven Assessoria Esportiva;2021/01;22;4981;4995;0;0;0
Connect filial Arena Beach Sports;2021/01;19;8749;8868;0;0;0
Master Fit;2021/01;9;3165;3265;0;0;1500
Wow Fit;2021/01;1;165;165;0;0;0
21604;2021/01;0;0;10;0;0;0
21609;2021/01;0;0;0;;;
SmartBody;2021/01;32;2830;2890;0;0;0
BOX NEW WORLD;2021/01;18;10765;10915;0;0;0
CENTRO DE TREINAMENTO FREE MIND;2021/01;0;279;279;0;0;0
CROSS LIFE PAINS;2021/01;34;31892;13372;0;0;8513
Espaço de treinamento funcional Personal Simony Sales;2021/01;3;1700;1950;0;0;0
LV FITNESS;2021/01;16;8580;8710;0;0;2981
Ulisses Rodrigues Treinamento Integrado;2021/01;2;10070;11010;0;0;803
ARENA CROSS TRAINING;2021/01;7;1540;1540;0;0;3154
MR Star fitness;2021/01;5;9777;14253;0;0;0
Academia imperium;2021/01;20;15401;12366;0;0;4312
21734;2021/01;0;0;0;;;
21739;2021/01;0;0;0;;;
BG Studio Personal;2021/01;5;6190;6690;0;0;1010
Francine Almeida;2021/01;0;85;85;0;0;0
21768;2021/01;0;0;0;0;0;0
GOTHAM FIGHT CLUB;2021/01;1;380;620;0;0;620
Box 21;2021/01;0;179;358;0;0;429
RJR FUTEVOLEI;2021/01;7;2449;3682;0;0;0
21867;2021/01;0;0;0;;;
Espaço Betcher;2021/01;0;336;336;0;0;0
21879;2021/01;0;0;0;0;0;0
21889;2021/01;0;0;0;;;
Mix Trainning;2021/01;0;391;391;0;0;0
Pessanha;2021/01;1;1145;847;0;0;0
Edson Carlos | Blue Dragon Fight;2021/01;2;905;990;0;0;0
21933;2021/01;0;0;0;0;0;0
Casa Surya;2021/01;2;2090;1365;0;0;0
21968;2021/01;0;0;0;;;
21971;2021/01;0;0;0;;;
Studio Fitness Pole Dance;2021/01;0;0;0;;;
CROSSCT;2021/01;18;15320;15890;0;0;2000
21989;2021/01;0;0;0;;;
White shark surf treino;2021/01;0;3625;5200;0;0;0
Cross Life Centro Canoas;2021/01;2;2467;2805;0;0;0
Academia Body Fitness;2021/01;0;0;0;0;0;0
22029;2021/01;0;0;0;;;
22038;2021/01;0;0;0;0;0;0
Espaço Aquático Riviera;2021/01;0;517;517;0;0;0
box cross moreninhas;2021/01;20;15000;16050;0;0;0
Bryan - Porto Personal Fight 2;2021/01;3;7466;8411;0;0;0
Bebox;2021/01;0;349;15865;0;0;0
22063;2021/01;0;0;0;;;
Leading Fitness Cursos e Treinamentos Ltda;2021/01;0;248;496;0;0;0
22098;2021/01;0;0;0;0;0;0
Studio Training;2021/01;0;850;850;0;0;0
João Victor Costa;2021/01;0;0;0;;;
Escolinha independente;2021/01;0;70;70;0;0;0
22211;2021/01;0;0;0;;;
22229;2021/01;0;0;0;;;
IPE CROSS TRAINING;2021/01;8;3480;3480;0;0;0
Life Academia;2021/01;183;15895;15127;985;0;2220
NAMASTE ESPORTE E LAZER LTDA;2021/01;0;0;0;0;0;0
22274;2021/01;0;0;0;;;
22278;2021/01;0;0;0;;;
22292;2021/01;0;0;0;0;0;0
Physis Clube de Treinamento;2021/01;0;340;4913;0;0;0
ERIVELTON RODOLFO FERREIRA DA LUZ;2021/01;0;149;319;0;0;0
Top Fit Academia;2021/01;0;1800;2250;0;0;2000
22343;2021/01;0;0;0;0;0;0
22350;2021/01;0;380;380;0;0;0
Michel Vaz Franco Martins;2021/01;3;122;140;0;0;0
22357;2021/01;0;0;0;;;
Studio Power Fitness;2021/01;0;89;89;0;0;0
22381;2021/01;0;0;0;;;
Star Fit Academia;2021/01;0;1400;4735;0;0;0
KILLER BEES CAMPO LARGO;2021/01;0;102;102;0;0;0
CT SINTONIA FITNESS;2021/01;0;2710;5490;0;0;0
CARDIOFIT - Reabilitação e Condicionamento Físico;2021/01;0;0;0;0;0;0
22406;2021/01;0;0;0;0;0;0
Tecpulse Eletroestimulacao;2021/01;0;99;99;0;0;750
22440;2021/01;0;0;0;;;
22442;2021/01;0;129;279;0;0;0
22453;2021/01;0;0;0;0;0;0
22467;2021/01;0;0;0;;;
22471;2021/01;0;0;0;;;
22497;2021/01;0;0;0;;;
22565;2021/01;0;0;0;0;0;0
Centro de treinamento Pantera;2021/01;0;204;204;0;0;0
22574;2021/01;0;0;0;;;
22587;2021/01;0;0;0;0;0;0
22595;2021/01;0;0;0;0;0;0
22601;2021/01;0;0;0;;;
22603;2021/01;0;0;0;;;
22604;2021/01;0;0;0;;;
22607;2021/01;0;0;0;0;0;0
22610;2021/01;0;0;0;;;
22634;2021/01;0;0;0;;;
22654;2021/01;0;0;0;;;
22656;2021/01;0;0;0;;;
22658;2021/01;0;120;120;0;0;0
22661;2021/01;0;4900;4883;0;0;0
22700;2021/01;0;0;0;;;
22702;2021/01;0;0;0;;;
22704;2021/01;0;0;0;;;
22715;2021/01;0;0;0;;;
22730;2021/01;0;0;0;;;
22795;2021/01;0;0;0;;;
22803;2021/01;0;0;0;;;
22804;2021/01;0;0;0;;;
22805;2021/01;0;520;520;0;0;0
22808;2021/01;0;0;0;;;
22840;2021/01;0;1892;2632;0;0;16885
22923;2021/01;0;0;0;;;
22928;2021/01;0;0;0;0;0;0
22929;2021/01;0;0;0;0;0;0
22933;2021/01;0;0;0;;;
22990;2021/01;0;0;0;;;
23026;2021/01;0;0;0;;;
23027;2021/01;0;0;0;;;
ACADEMIA CLUB FITNESS CURITIBA;2021/02;0;0;6738;2195;3121;0
18 PHD SPORTS - AV. MARINGÁ - PINHAIS 3;2021/02;0;0;38535;7210;27823;36687
LIVING FITNESS;2021/02;0;0;5533;3773;1556;0
04 PHD SPORTS - JOÃO NEGRÃO - CENTRO 5;2021/02;0;0;11896;3235;7784;6550
Associação Atlética Banco do Brasil;2021/02;0;0;0;0;0;0
ACADEMIA ONE;2021/02;0;0;96320;13190;76373;115016
UELFIT Academia;2021/02;0;0;2031;0;0;0
MEGA FITNESS;2021/02;0;0;23882;16086;5391;0
ENERGYN ACADEMIA;2021/02;0;0;63654;38682;19281;0
Power Fit Academia;2021/02;0;0;7643;0;81;0
GO FITNESS;2021/02;0;0;40995;36220;0;0
Academia 4Fitness;2021/02;0;0;10544;7786;1047;249
ESPACO ATIVO;2021/02;0;0;5857;4303;0;0
10 PHD SPORTS - ALTO DA XV 24;2021/02;0;0;28959;6204;20678;33415
The Factory Gym;2021/02;0;0;43510;33645;5550;0
ACADEMIA FENIX;2021/02;0;0;23257;15333;0;0
JF STRONG GYM;2021/02;0;0;9533;4967;0;0
INFITINESS ACADEMIA;2021/02;0;0;10948;3896;5612;0
HR STUDIO;2021/02;0;0;14802;0;14152;14073
World Gym;2021/02;0;0;63934;56476;0;96145
Academia Oxygym;2021/02;0;0;47443;30141;14578;40652
ACADEMIA IMPACTO;2021/02;0;0;1926;230;0;0
Ace Fit Club;2021/02;0;0;13179;8949;2461;370
ASSOCIACAO BUJIN DO KAN DE KARATE;2021/02;0;0;0;;;
CT MOVE TREINAMENTO FUNCIONAL;2021/02;0;0;17092;8476;5281;20564
BE BOLD HARDTRAINING;2021/02;0;0;9298;5378;3734;0
CENTRO DE KRAV MAGA DO PARANA;2021/02;0;0;13149;350;9467;18029
CrossFit SANJA;2021/02;0;0;17321;1761;14849;8274
STRIKER'S HOUSE;2021/02;0;0;5464;2939;0;0
AQUAFLEX ACADEMIA;2021/02;0;0;28310;24739;0;0
BRAVUS CLUB;2021/02;0;0;25651;4192;21041;0
DMIX FITNESS 1;2021/02;0;0;9308;6011;1660;0
CENA;2021/02;0;0;47893;44310;0;0
FIT COMPANY;2021/02;0;0;93626;78199;0;18634
FIELD FITNESS;2021/02;0;0;31609;22461;1856;0
CWB Defense;2021/02;0;0;10943;306;8325;13793
FISIOMASTER JARDIM;2021/02;0;0;56505;30747;0;0
Galpão 898;2021/02;0;0;7468;5681;0;0
SPACE GYM BACACHERI;2021/02;0;0;29066;23018;1383;0
THE KING GYM;2021/02;0;0;10268;3182;6031;0
LIFE TEAM;2021/02;0;0;6474;3721;1680;0
NARA GUEDES BRANDAO - ME;2021/02;0;0;5219;0;0;0
ACADEMIA UP BY GURIK;2021/02;0;0;10618;7412;259;0
Fisiomaster Praia;2021/02;0;0;67588;38384;20864;0
Esporte Clube XV de Novembro de Jaú;2021/02;0;0;0;0;0;0
CIA DO CORPO ACADEMIA;2021/02;0;0;3830;0;0;0
Hama Pilates Sede;2021/02;0;0;10629;0;0;1978
Bio Aventura;2021/02;0;0;13640;9097;1509;21007
Torga Squash Fit;2021/02;0;0;4927;0;0;0
Natural Done;2021/02;0;0;8648;0;8256;0
CROSSFIT PORTAO;2021/02;0;0;23638;11205;12433;0
06 PHD SPORTS - FILIPINAS - CAJURU 181;2021/02;0;0;14066;2341;11001;7103
Wah Lum Kung Fu Brasil;2021/02;0;0;1905;679;1076;5590
Escola HidrosFera - Natação e Hidroginástica;2021/02;0;0;44921;2729;20518;56268
CF GALÁTICOS;2021/02;0;0;8135;1702;6432;0
Academia Thai Brasil;2021/02;0;0;57492;41033;13869;0
SIMIONI TEAM;2021/02;0;0;2334;995;0;2672
Academia Fênix;2021/02;0;0;2624;1613;0;1772
BLACK BELT MMA SCHOOL;2021/02;0;0;15605;10743;132;0
Xperience Sports Center;2021/02;0;0;9786;96;8954;0
Academia Corpus;2021/02;0;0;7410;5023;179;0
ZANELLA FITNESS;2021/02;0;0;37984;33464;0;35658
PARREIRAS SPORTS e COMMUNITY FIT;2021/02;0;0;9150;7606;0;0
Training Tech Fitness Center;2021/02;0;0;21711;11258;0;40470
SPORT COMPANY NATAÇÃO E GINASTICA S/C LTDA;2021/02;0;0;0;;;0
GALLE PERSONAL STUDIO;2021/02;0;0;155;;;0
Academia Vip Fit;2021/02;0;0;15003;512;12395;0
CLÍNICA SENIOR GYM;2021/02;0;0;12294;12107;0;3544
Academia Workout Fit;2021/02;0;0;1914;1119;0;0
Academia Movimentacao;2021/02;0;0;70272;3879;60972;1153
Cross Roncador;2021/02;0;0;14854;3054;8982;6136
Academia Physical Life;2021/02;0;0;11876;8525;3122;0
MUSCLE PLUS ACADEMIA;2021/02;0;0;8832;5424;0;1518
ACADEMIA LB ESPORTES;2021/02;0;0;21410;14328;457;300
TopFlex Academia;2021/02;0;0;3384;1783;750;0
CHINA TEAM;2021/02;0;0;3059;219;2106;490
Conquiste Saúde;2021/02;0;0;54296;2260;39256;55397
Academia VIVA+;2021/02;0;0;13013;9344;86;19435
OMNI ACADEMIA;2021/02;0;0;10264;3609;5991;5041
IMPERIO FITNESS;2021/02;0;0;1849;764;0;0
Academia Mbrasil;2021/02;0;0;29825;24440;89;0
StrongerFit;2021/02;0;0;4990;0;0;0
ACADEMIA SHAPE;2021/02;0;0;5485;2713;1955;0
BODY ONE FIT;2021/02;0;0;23434;17502;2186;53
Cia da Forma;2021/02;0;0;26273;19464;1820;0
UNDER PRESSURE;2021/02;0;0;9290;2149;5404;6964
Espaço Mov;2021/02;0;0;3504;0;0;33014
ACADEMIA CORPORYUM;2021/02;0;0;22021;9723;11514;29140
Academia Sparta fit;2021/02;0;0;4220;2833;0;0
FIT COMPANY (FILIAL);2021/02;0;0;29272;24181;426;20296
Bona Crossfit;2021/02;0;0;17136;1094;14629;23871
NATSU ACADEMIA;2021/02;0;0;15026;9387;0;0
Greenfit Academia;2021/02;0;0;11368;8896;130;0
Via Água Club;2021/02;0;0;51001;22614;0;8425
Elton Marinato Studio Funcional;2021/02;0;0;1913;0;0;0
PER4MANCE ACADEMIA;2021/02;0;0;3513;120;0;0
FORCE FITNESS;2021/02;0;0;7905;4486;0;0
07 PHD SPORTS - PEDRO IVO - CENTRO 436;2021/02;0;0;10125;1881;6251;5357
Battlefield Gym;2021/02;0;0;113;113;0;0
CrossFit Lion's Fire;2021/02;0;0;12006;2437;9367;24822
Vitae Academia;2021/02;0;0;12357;9667;0;75
Crossfit V6;2021/02;0;0;31896;19723;0;32970
EFFICIENCY GYM;2021/02;0;0;16347;11502;0;0
09 PHD SPORTS - GUABIROTUBA 453;2021/02;0;0;28817;4116;23585;37928
UPLAY FITNESS - GUARAPUAVA;2021/02;0;0;77958;69508;973;0
FIVE ONE FITNESS;2021/02;0;0;25530;11400;7003;7213
Alliance Lago Norte;2021/02;0;0;1355;0;957;0
OnLife Funcional Fitness Clube;2021/02;0;0;17464;878;14189;34989
ESPAÇO ATIVO PILATES;2021/02;0;0;6661;1273;3382;0
XTREME FIGHT & FITNESS;2021/02;0;0;6882;737;0;0
DASFIT TREINAMENTO FUNCIONAL;2021/02;0;0;8231;2379;4410;13222
INSANIT GYM;2021/02;0;0;3289;2395;653;6537
FLAME POLE STUDIO;2021/02;0;0;0;;;0
UPLAY FITNESS - PINHAIS;2021/02;0;0;31813;19726;7069;0
19 PHD SPORTS - LEOPOLDO JACOMEL - PINHAIS 495;2021/02;0;0;62796;11835;42437;66717
EAGLES CROSS TRAINING;2021/02;0;0;4714;3580;0;0
Ecolife Saude;2021/02;0;0;1695;643;287;0
Flow Inn Estudio;2021/02;0;0;0;;;6489
FIT PREMIUM - MERCES;2021/02;0;0;30006;17207;12138;64
ACADEMIA GIGAFIT;2021/02;0;0;10926;6302;0;0
Cl Fitness;2021/02;0;0;0;0;0;134
Academia Via Mulher;2021/02;0;0;1795;1127;96;3775
Academia Max Sports;2021/02;0;0;723;0;0;0
WM FItness;2021/02;0;0;32335;16473;12354;0
CROSS EXTRA HARD;2021/02;0;0;3367;0;0;0
ACADEMIA CGE;2021/02;0;0;10061;6514;0;1860
Una Studio;2021/02;0;0;5131;0;3571;0
Crossfit Kerberos;2021/02;0;0;12852;6153;3819;0
Studio Personality;2021/02;0;0;3034;0;2184;0
Graciosa Country Club;2021/02;0;0;0;0;0;0
WM HEALTH;2021/02;0;0;15937;15937;0;3697
F2 Academia;2021/02;0;0;10330;7230;0;11791
Joy - Treinamento Funcional e Pilates;2021/02;0;0;1354;140;0;0
Moove Treinamento Funcional;2021/02;0;0;3646;180;3466;6064
Academia Body Fit - Unidade 1;2021/02;0;0;19050;15998;0;63
KOMANDOS BRASILFIT;2021/02;0;0;4303;1663;2461;0
UP! Fitness;2021/02;0;0;9415;6004;0;0
RH PRO STUDIO;2021/02;0;0;7891;1170;4594;1604
Studio Chronos Panamby;2021/02;0;0;12025;10582;0;0
Crossfit Silver Lake;2021/02;0;0;2090;0;0;4134
IMA;2021/02;0;0;1145;0;1045;0
STRONGER CROSS;2021/02;0;0;6820;192;5255;0
ESCOLINHA DE FUTEBOL AMÉRICA;2021/02;0;0;360;242;117;0
EQUILIBRIUM SPRADA;2021/02;0;0;38603;5619;30319;100
Cerrado Crossfit;2021/02;0;0;704;0;0;0
Fênix Centro de Treinamento;2021/02;0;0;2142;272;0;1056
03 PHD SPORTS - SANTA QUITÉRIA 902;2021/02;0;0;27359;3901;18338;21671
WS NATAÇÃO;2021/02;0;0;44445;33325;0;0
Vstrong;2021/02;0;0;17404;3074;12206;406
Forseti Centro de Treinamento;2021/02;0;0;7247;2773;3709;18603
02 PHD SPORTS - REBOUÇAS 940;2021/02;0;0;31915;6590;23077;12287
01 PHD SPORTS - BACACHERI 945;2021/02;0;0;13803;2985;9295;7118
Clínica do Movimento;2021/02;0;0;3490;0;0;0
Academia S5;2021/02;0;0;7815;276;3527;0
MB ASSESSORIA ESPORTIVA;2021/02;0;0;199;0;0;0
CrossFit City Wolves;2021/02;0;0;24780;19817;0;39811
M1 FITNESS CENTER;2021/02;0;0;27808;0;26096;0
TOPLIFE ACADEMIA;2021/02;0;0;8299;6836;0;0
Nobre Arte Academia de Boxe;2021/02;0;0;13705;12579;0;9223
Academia Fitness Plus;2021/02;0;0;20528;579;19065;0
EQUILIBRIUM FERRARIA;2021/02;0;0;22641;1830;18686;0
CrossFit Vingadores;2021/02;0;0;8827;0;6725;0
CF Piumhi;2021/02;0;0;4247;0;0;0
ACADEMIA SMART FIT;2021/02;0;0;11222;3818;0;10684
Black Box Training;2021/02;0;0;12533;211;12142;0
CROSSFIT HARDBREAK;2021/02;0;0;30476;5415;24160;28794
ARENA ONE ACADEMIA;2021/02;0;0;35132;5624;25326;8085
PROFIT STUDIO;2021/02;0;0;17609;14747;0;43767
Academia Oxy Place;2021/02;0;0;47422;15392;30266;39847
Break Limits;2021/02;0;0;2370;1810;0;0
Corpo funcional cross;2021/02;0;0;3151;3151;0;0
HIIT FITNESS;2021/02;0;0;2799;71;1434;6587
K2 Itacorubi;2021/02;0;0;9221;0;7362;19796
Tribo Fitness Chácara;2021/02;0;0;3167;1886;688;0
Eik? Artes Marciais;2021/02;0;0;12430;;;2950
Academia Quality Body;2021/02;0;0;20100;18497;0;4608
CROSSFIT FIRE HAWKS;2021/02;0;0;22706;3422;17957;10605
studio fitness monise glatzl;2021/02;0;0;13703;5089;0;18651
Viva Pilates SP;2021/02;0;0;335;0;0;0
Vibe Cross Training;2021/02;0;0;119;0;0;0
EVOLUA IÇARA;2021/02;0;0;8219;2337;0;5030
TRIBO GUARUJÁ;2021/02;0;0;15095;686;13647;0
Focus Academia;2021/02;0;0;32404;641;29005;0
Santé Treinamento Funcional;2021/02;0;0;40433;0;40082;0
Head Office;2021/02;0;0;7639;4091;0;0
Academia La Santé!;2021/02;0;0;3431;0;0;0
Tribo Fitness Mesquita;2021/02;0;0;24188;1267;22245;0
Elite Cross;2021/02;0;0;1963;731;144;1750
Clínica Fitness D2;2021/02;0;0;5430;0;3835;0
Novo Futuro Studio;2021/02;0;0;0;0;0;0
MOV CLUBE FITNESS;2021/02;0;0;9711;2465;5187;10881
TIA ILKA - ALPHAVILLE;2021/02;0;0;24440;16799;0;7450
PRIX;2021/02;0;0;48068;22023;15475;0
Evolua Morro da Fumaça;2021/02;0;0;4905;3150;0;2073
Yôga School;2021/02;0;0;18247;1155;8009;0
UPLAY FITNESS - AV BRASILIA;2021/02;0;0;44179;26272;16297;0
TIA ILKA - UNIDADE OESTE;2021/02;0;0;44385;33548;0;8997
Academia World Fitness;2021/02;0;0;747;0;323;0
Movimento A Instituto de Saúde Física e Mental;2021/02;0;0;386;0;0;0
MegaRace Centro Fitness;2021/02;0;0;14355;1383;10102;21808
Hama Pilates Premium;2021/02;0;0;7819;1445;6;18336
max training;2021/02;0;0;8956;1454;6129;0
DOMINIO FITNESS;2021/02;0;0;1078;1025;0;12609
H2o Studio - Treinamento funcional e Pilates;2021/02;0;0;20838;13279;0;8000
Crossfit Maringá 2;2021/02;0;0;7311;1599;4999;7399
Shamu Natação;2021/02;0;0;0;0;0;1127
WA Danças - Unidade Paulista;2021/02;0;0;32440;5307;25123;175
Penduricália Acrobacia Aérea;2021/02;0;0;746;0;0;5240
CROSSTAINER;2021/02;0;0;19416;5436;9720;9411
Unidade Glória - RTesser Life Studio;2021/02;0;0;185;0;0;0
Meu Personal de Bolso;2021/02;0;0;0;0;0;0
BOX SE7E;2021/02;0;0;4304;525;820;500
JAB L.U.T.A.S.;2021/02;0;0;20345;16468;0;19080
Akacia Amarela;2021/02;0;0;0;;;0
Plié Namastê Studio;2021/02;0;0;4116;0;4033;0
FORMA FITNESS ACADEMIA;2021/02;0;0;0;0;0;0
Primal Cross;2021/02;0;0;0;0;0;0
Steel Giants;2021/02;0;0;18041;4437;9757;6183
Armel CrossFit;2021/02;0;0;30306;5267;22616;17393
Split Pole Studio;2021/02;0;0;2101;187;0;1515
CROSSFIT PARAGUAÇU;2021/02;0;0;4290;3325;0;1949
Studio Latos Pilates;2021/02;0;0;2356;0;0;0
Tribo - Vale do Sol;2021/02;0;0;2028;0;1115;0
Viva Bem;2021/02;0;0;0;;;0
CT Evox;2021/02;0;0;6496;5473;175;0
Tribo fitness Unidade Curvelo;2021/02;0;0;11976;0;2147;0
Pratique Cross;2021/02;0;0;2054;;;1578
Academia Body Fit - Unidade 2;2021/02;0;0;30216;23770;0;0
13 PHD SPORTS - VIP - CAJURU 1630;2021/02;0;0;24788;1953;19860;0
KOR CROSSFIT 2;2021/02;0;0;7050;0;6416;0
CF SOLDIERS;2021/02;0;0;3551;2533;407;20276
NEOFITNESS;2021/02;0;0;38683;19629;0;0
Soc Emp Alive Studios LTDA;2021/02;0;0;4011;57;3851;0
Instituto Verbalize;2021/02;0;0;4843;0;4397;0
LIFIT TRAINING - A. RATOS;2021/02;0;0;7093;138;6519;3748
Barong Crossfit;2021/02;0;0;22119;13473;3066;0
Flashover Bancários;2021/02;0;0;10409;2584;6618;5933
Núcleo 7 Esferas do Tao;2021/02;0;0;8474;0;8321;8949
Studio Personal Trainer Mogi - Adão Silva;2021/02;0;0;9548;5376;2365;2100
Gym Pilates - Alphaville;2021/02;0;0;11457;0;0;0
CT SEARA - Vôlei de praia;2021/02;0;0;0;;;0
ABS Studio Personalizado;2021/02;0;0;3275;890;0;2467
Acqua Fitness;2021/02;0;0;46377;40273;249;0
Pura Vida Pilates;2021/02;0;0;10340;3711;0;0
PROLOGUE Box CrossFit;2021/02;0;0;5567;0;3096;7579
Crossfire;2021/02;0;0;12422;11110;298;2778
BABY GYM - ACADEMIA PARA BEBÊS;2021/02;0;0;1775;867;98;0
Corpilates – Equilíbrio e Saúde;2021/02;0;0;13593;10463;0;494
Alive Natação;2021/02;0;0;4693;0;0;0
Up Fit Studio Personal Trainer;2021/02;0;0;2833;;;3228
Clube Náutico Riachuelo;2021/02;0;0;1032;0;48;76
Juninho Tennis;2021/02;0;0;62723;1116;30302;8562
CENTRAL FITNESS;2021/02;0;0;27912;5039;19935;40
Vsa fitness;2021/02;0;0;2755;0;0;0
Tribo Fitness São Carlos;2021/02;0;0;127;0;0;0
Maisstreino;2021/02;0;0;10596;0;10279;289
11 PHD SPORTS - UBERABA 1833;2021/02;0;0;28614;4613;21979;23188
HJ Fitness;2021/02;0;0;35725;13195;16367;0
Osy Fit - Maracana;2021/02;0;0;45086;35570;0;5731
Oasis Academia;2021/02;0;0;24097;799;21852;2848
TRIBO FITNESS ANGRA;2021/02;0;0;4050;694;1631;1050
Cityvida Capão Bonito;2021/02;0;0;10616;5904;2556;2746
Power Training;2021/02;0;0;1540;;;1967
Boa forma studio personal e treinamento funcional;2021/02;0;0;1879;0;789;927
Cross1Fit;2021/02;0;0;8359;0;7542;6491
CFP9 CasaShopping;2021/02;0;0;95340;4795;89055;93887
Academia Ramirez;2021/02;0;0;559;434;124;0
MAFIA CF CROSSTRAINING;2021/02;0;0;3182;0;2934;0
BABY GYM;2021/02;0;0;5685;1114;4571;0
AKTIVE CENTRO DE SAUDE E BEM ESTAR;2021/02;0;0;3796;0;2156;890
EMAGREFIT;2021/02;0;0;3346;0;0;9314
KOR CrossFit;2021/02;0;0;30003;0;28953;29399
Academia Bio Fitness;2021/02;0;0;44705;38322;504;55335
centro de treinamento body & soul;2021/02;0;0;8671;0;8671;0
Tribo fitness unidade Belém;2021/02;0;0;2446;0;866;0
CT BOLA PRA CIMA;2021/02;0;0;5933;0;0;0
Kahu CrossFit;2021/02;0;0;19775;0;17643;0
Elleven Futebol Studio;2021/02;0;0;6075;3077;713;0
STUDIO BROOK FIGHTER;2021/02;0;0;6390;4871;753;0
Saúde e fitness;2021/02;0;0;0;;;625
VIVA ACADEMIA DE NATAÇÃO E HIDROGINÁSTICA;2021/02;0;0;13041;9571;0;0
UNIDADE 1 ITAPARK;2021/02;0;0;16383;14696;610;0
JSJ ESPORTES E ENTRETENIMENTO LTDA;2021/02;0;0;18880;13311;2586;22255
MOREIRA FIT I;2021/02;0;0;950;0;0;950
ACADEMIA COLISEO;2021/02;0;0;40553;5837;30218;5298
Elite fitness e Lutas;2021/02;0;0;2415;0;0;0
Studio Angelo Molina;2021/02;0;0;9557;0;9064;0
UPEX FIT;2021/02;0;0;20484;17719;0;54701
SOU PILATES;2021/02;0;0;0;;;5437
2103;2021/02;0;0;0;;;
Intense Fitness Itabira;2021/02;0;0;10605;5290;2471;17946
Unit55 CrossFit;2021/02;0;0;26013;0;25269;42210
CROSSBOX;2021/02;0;0;2859;0;1357;0
OSY FIT - Guaraituba;2021/02;0;0;30785;23569;0;2070
Centro de Treinamento Team Cruz;2021/02;0;0;18432;3809;10737;0
ARENA EKO;2021/02;0;0;12339;164;12174;15727
I9 CROSSFIT;2021/02;0;0;5081;2024;1389;270
Estúdio Andréa Schaidt;2021/02;0;0;190;0;0;0
Bravus centro de treinamento;2021/02;0;0;8472;4583;1309;0
Fit House;2021/02;0;0;2095;0;1766;1994
Centro de Natação Camboriú;2021/02;0;0;24983;1492;20122;18809
Grupo Joyce Fitness;2021/02;0;0;6520;3791;0;23133
CFJM;2021/02;0;0;36670;4085;32094;3520
ACADEMIA R2;2021/02;0;0;49691;37834;2171;0
Studio Funcional 360 Studio;2021/02;0;0;12550;2984;9414;0
Studio Nataraja Flow Yoga;2021/02;0;0;9895;8770;1124;5945
Tribo fitness São luis Maranhão;2021/02;0;0;3851;3400;0;0
BIOTRAINING;2021/02;0;0;10643;8646;0;0
Academia Black Bull Fit;2021/02;0;0;19669;7050;12098;290
Vitta Physio;2021/02;0;0;1823;1309;248;0
Arena;2021/02;0;0;8113;5667;0;0
Vessel CrossFit;2021/02;0;0;10999;1974;6575;8906
Studio Core - Saúde & Performance;2021/02;0;0;3729;0;3075;1302
BODYFIT - Movimente-se!;2021/02;0;0;2145;0;0;0
CROSSFIT ESTIVADORES;2021/02;0;0;22069;21215;0;11130
Focus Gym;2021/02;0;0;1599;1599;0;0
EDER PIRES RUN & FITNESS ASSESSORIA;2021/02;0;0;1337;620;0;450
Crossfit 6450;2021/02;0;0;22405;742;19720;2237
